Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles,
05/01/2023,United States,5,Alexandra Torres,Buen producto,Muy buen producto de buen material y resistente me encanto,,,TRUE,https://www.amazon.com/gp/customer-reviews/R365JXNI3HXX3C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
05/01/2023,United States,2,Alyssa,Great for travel but cheap quality,This was great to take around when traveling because it is so light but even when assembled and reassembled properly one of the front wheels hardly hits the ground and when it does it wobbles all over.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R52AJD1MH3WWN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/30/2023,United States,1,Breezey warner,Missing back wheel,I wanted this stroller for awhile. It’s actually really nice it looks like it’s a $200 stroller. Only thing is just the wheel missing. Can’t get ahold of customer service for a replacement,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1WU9MWNSUFJU3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B0BMJ5FL3L,Color: Gray/Black,
04/29/2023,United States,3,Karo Soto,Good but not to usefull,Its ligtweightEasy to transport,,,TRUE,https://www.amazon.com/gp/customer-reviews/R39PIID82Q6CNE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/27/2023,United States,1,Mikaela Smith,Not Impressed,Felt super cheap and not durable. No handle to carry it with which kinda stunk. Do not recommend,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1SAT0BYJ7ENS3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/27/2023,United States,5,marie morales,Nice and great quality,This is very comfortable and easy to handle while traveling by plane. Highly recommended,,,TRUE,https://www.amazon.com/gp/customer-reviews/R23MG6K5W2IXRK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/27/2023,United States,2,HM,heavy and bulky,This thing is too heavy and too bulky.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RLU3PWP4SPEPY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/27/2023,United States,2,michael,Broke after first time it went on the airplane,Easy to carry around but not durable at all,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1KEF7SI0SSI4H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/26/2023,United States,2,Yeraldin,Its good not great,This stroller didnt last me very long. One of the wheels kept getting stuck. Didnt send it back because it was the biggest i could find but i would skip on this one.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3UADNLI744CFV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/26/2023,United States,1,Martha Rojas,Bad bad material,Really bad but bad material you could feel the plastic were you going to lead your baby my daughter cry a lot when I put her there I started using the stroller 5 days ago a purchase other one and she is happy not recommend for baby’s not good,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2VHEU5VKOWAYL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/26/2023,United States,1,Keeda B,"Stroller clamp that keeps the stroller down does not stay down,","Stroller clamp that keeps the stroller down does not stay down, it keeps coming up making the stroller close on my baby when she is in it. Horrible.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R21EBRC445T264/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/26/2023,United States,1,sara litton,Used,I ordered one at a discounted rate due to “box damage” however the stroller has very clearly been used for a beach trip and then returned. The stroller has sand all over it and even had a little toy dinosaur in the cup holder.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2LR5HKCD5MIL9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/25/2023,United States,2,Stacy,Too short,Not the best kinda flimsy .,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1W7OF7JSJXAOP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/25/2023,United States,5,Deanna,"Bought for travel, use everyday","This stroller is incredible, excellent quality, very lightweight and my everyday go to when we don’t need the jogger stroller. It was an absolute lifesaver on our trip to LA.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3MJGUPYLUMAND/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/24/2023,United States,2,Ashley Castro,No luck,"Got this stroller as we're taking a family vacation that requires flying and I didn't want to take out heavier and expensive stroller with. I've heard of this brand and know they make good umbrella strollers so I figured I'd buy it ahead of time to test it out. I was super excited when we go the stroller but when I put it together and tested it out on a store run, the front right wheel didn't fully touch the ground (picture one, tad hard to tell). I exchanged the stroller as I couldn't use it with ease and just two days later we got a new one. Well that one was even worse. The back right leg was bent at an odd angle (picture two). Picture three is the how we received the stroller (giant box, wrapped in thick paper. We didn't get the first stroller like that.) so I had a feeling even before opening it that something was wrong. I'm just fully returning it at this point. Bummer since I did like how my daughter sat in it and the features. Not sure if this was on the Summer company or Amazon but we just didn't have luck with this guy. Get what you paid for kind of situation or just rotten luck? Not too sure 🤷🏻‍♀️","https://m.media-amazon.com/images/I/61Xj5kxcV+L._SY1600.jpg, https://m.media-amazon.com/images/I/71FPSUwVhxL._SY1600.jpg, https://m.media-amazon.com/images/I/71yq86Plb8L._SY1600.jpg",,TRUE,https://www.amazon.com/gp/customer-reviews/RLFRUDVQSIF04/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/24/2023,United States,5,Yexabel,Súper súper le queda Perfecto,Encantada,,,TRUE,https://www.amazon.com/gp/customer-reviews/RN8FN7GKZFXXC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/23/2023,United States,5,helena a.,Great look.,Lightness and looks were great.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R34C3PGVBFJOJF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B0BS9SWRM1,Color: Light Gray,
04/23/2023,United States,4,Andrea Stegall,Ok for price,Cute stroller and stylish but hard to open and close latch,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1648VVYX5TAXV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/23/2023,United States,2,patton,Uneven stroller,"Hi there. We just received the mini stroller today, Saturday 4/22. After putting it together, we took it for a test stroll and noticed one of the wheels the top right wheel does not touch the floor/ground. It’s about an inch or more off the ground which makes strolling our 2 year old not smooth as you can imagine. If you could please let us know what we can do to get one with all four wheels touching the ground that would be great. We are using for our trip coming up and will need it for the airport. Thank you.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2WLN77JJSH99X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/23/2023,United States,4,Amazon Customer,"Easy , affordable !","It is easy to put together , only wheels really needed to be attached . Durable for bumpy roads . Though closing it is not as swift, and takes some getting use to .",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1RB0A6ELSTOP3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07P1YSC18,Color: Gray,
04/22/2023,United States,4,Vprz,Works well,Easy to set up and works well,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3S65RO5GZ9B4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/22/2023,United States,3,Shauna Pollmann,Ok value,"For what you are paying, it is an ok value. It is sturdy enough, portable and great for quick trips. It does not lay back very far and the hood does not shade very far. But my biggest complaint are the front wheels. They do not turn very easily or comfortably. You have to manually pick up and move the stroller occasionally, especially on carpet. If you plan to use this stroller a lot, spend a little more money and get a higher quality product.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2H65OOX8WSUSU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/21/2023,United States,4,Teresa A. Todd,Pushes and turns easily,Got this for my niece and it pushes and turns so easily. The wheels are great.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3JL2L0HSYHO7M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/21/2023,United States,5,keshelton,Exactly what I was looking for!,"Love this umbrella stroller! My grandson has very fair skin so it was important for me to find a stroller that was light weight but had a canopy on it. This is perfect! It also has a small attachment to hold water bottle, phone, sunglasses, etc.! There is a “cargo” area underneath so I can place his light weight blanket and jacket in case it is chilly when we go out.I would recommend this umbrella stroller!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R32YR9GWAOTE2V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07GGHVL64,Color: Blue,
04/20/2023,United States,5,Bria Look,Great for travel,"Our full size stroller set was way to heavy for travel and this umbrella stroller is a great alternative. It was easy to put together, is lightweight but sturdy at the same time. The pink is such a bonus!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2WU8503WUNDLL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07SRVB6T6,Color: Pink/Black,
04/19/2023,United States,5,Rami,Amazing for the price!,"We bought this stroller over a year ago and kinda just bought it in a hurry for a trip we were taking by plane. For the price we mainly just hoped it would get us through the airport and last till we got home. Now it has been on 8 trips through the airport including being weighed down with multiple backpacks and getting gate checked each time. It has sat next to snowy east coast beaches, been up and down rocky Alaskan trails, and has done miles and miles on city sidewalks. During it's downtime it resides in the trunk of my car where it is usually smashed by a Costco box or jammed aside to make room for more kid stuff.Another handy feature is that it collapses very easily by using a foot on the latch then one hand to push the handles to the ground and it latches itself closed. At this point it can be carried in one hand while wresting a fit throwing toddler in the other arm or you can use one hand to push it along when your toddler is in a walking mood. Everytime we get this out to use it I'm amazed that it's still just plugging along.As far as reclining it is easily adjustable and ours has seen many stroller naps. Its not able to lean back super far but at least enough to where the kids head doesn't fall forward while sleeping.One small flaws is one of the snaps for the umbrella top broke early on so when the stroller is folded up it just kinda flops there but can be easily snapped back onto the frame each time.It seems obvious but I should also mention that the tires are definitely umbrella stroller tires.. they are not handy for off-roading.. We have done it, but yes it definitely makes for a rocky ride and I wouldn't suggest this as a off road stroller.Another couple details are that the fabric can be removed from the frame by unscrewing about 8 screws. It's a bit tedious but is handy for when the fabric needs to be washed due to a potty training accident. The straps are good and very adjustable it has fit as little as a 6 months old baby up to our three year old toddler and I think we still have more time with it.Anyway, we love this stroller and would 100% buy it again. Everyone should have this as a travel stroller that lives in the trunk.",,,TRUE,https://www.amazon.com/gp/customer-reviews/RD9LDZBNACH9D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,20,B07P1YSC18,Color: Gray,
04/18/2023,United States,5,ferrets4ever,Light weight,Got this for my great granddaughter and it is perfect. Very light weight and easy to maneuver. Nice quality product.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R9TGK9QXCV6KS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/17/2023,United States,5,Margaret Garvin,Crazy convenient,"Awesome stroller for the price! I didn’t wanna drop a couple hundred dollars on a stroller so I grabbed this one and hoped for the best. It’s good quality, easy to fold up, and stores small enough to not take up all my trunk space. We love using this for our outings and it fits my 3 month old comfortably with room to grow.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3D2TVLUOSNJ8G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,2,B07GGHVL64,Color: Blue,
04/16/2023,United States,5,Maria,Great stroller,I bough this to use for my granddaughter. It is lightweight and easy to fold. It wheels quite easily.. Definitely recommend.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2V2NDBJY8YBUL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B0BMJ5FL3L,Color: Gray/Black,
04/16/2023,United States,5,Carla Alaniz,Quality,Very confi and fits anywhere.. I baby sit and this works great for me ..,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1WL1WJ15N9752/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07P1YSC18,Color: Gray,
04/16/2023,United States,1,Vee,Cheap and flimsy,"I’ve been using the Evenflo Pivot for my 1 year old, and due to the never ending squeaking coming from the stroller wheels we decided we should get something lightweight and easy. I was not expecting this thing to be so cheap and flimsy and the wheels not ride smooth. For $60 I wasn’t expecting perfection but this thing is not worth the $. I’m 5’4 and this thing is pretty short as well.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R6HEB2580BEXI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/15/2023,United States,5,M Gootan,Just right,I was looking for a new stroller that was less bulky than my infant stroller and more substantial than the cheap umbrella strollers. This is the perfect compromise and in between stroller.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R111HEB6M2CX1H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/15/2023,United States,2,Moira Layman,Don’t recommend,A lot smaller than expected. My 2 year old cannot sit in here comfortably. I’ve used it once and I’m already selling it.,,,TRUE,https://www.amazon.com/gp/customer-reviews/ROC3Y4LXJTW8W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/15/2023,United States,1,Ashley,Trash,"This stroller is trash, I actually requested my money back and I never do that. The wheels are so cheap, it’s horribly made, the cup holder are a joke and the back of the stroller is Velcro and detached. Another example of me being fooled by all the good reviews!",,,TRUE,https://www.amazon.com/gp/customer-reviews/RIY1ELR1WKG9C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07SRVB6T6,Color: Pink/Black,
04/14/2023,United States,3,Andrew K.,Works but not as compact as we thought,"Nothing wrong with the quality of use of this just didn't realize how big it still was when collapsed, was hoping for something more compact. Having to buy an ultra compact stroller now which is a few hundred, wish this would just compact more so I didn't need to purchase another one.",,,TRUE,https://www.amazon.com/gp/customer-reviews/RQXP2T5MMT2EP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/12/2023,United States,1,Kelly,Worst product,"I would not recommend this stroller to anyone, I have purchased 3 strollers for my own children, and now several for my grandchildren. Now this one for a trip to Disney for my grandson it literally fell apart before the end of our trip. Do not purchase!!I gave it one star but it’s not worth that.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3T7JNPJMOEYSD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/11/2023,United States,4,Latifah,Nice stroller,Easy to put together. The front wheels were locked initially so it took me a bit to realize I had to unlock them. Wish the storage was a bit bigger but it works for small trips.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2FDSQ98KOIL6N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07SRVB6T6,Color: Pink/Black,
04/11/2023,United States,5,Josh,Perfect size,"We love how light weight and compact this stroller is , but good quality",,,TRUE,https://www.amazon.com/gp/customer-reviews/R129MA1AV9XDWX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/11/2023,United States,5,Raquel B De La Garza,Es muy liviana,Que puedo transportarla y ayudar para que el bebé esté cómodo,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1Z1DX2WSPJU98/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/10/2023,United States,2,Melissa Muetzel,Great to keep in vehicle,"The front wheels need time to break in. Overall, it works.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R17Z7U0BQ9DBKG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/10/2023,United States,4,Jordan C,Good lightweight stroller,"We bought this specially for a trip across the country since our Baby Jogger is just very bulky and cumbersome to travel with last time we flew on a plane. It's a good lightweight stroller, easy to pack up and throw in the car. We use the Baby Jogger for NYC because it's a tank, this one probably wouldn't last a few months with the amount of mileage we put on our everyday stroller, but as a lightweight travel backup stroller it got us through a day at the zoo no problem.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2QEN1M3U235P9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,4,B07GGHVL64,Color: Blue,
04/10/2023,United States,2,Amazon Customer,Doesn’t feel very sturdy,This is not the stroller to use if you have bumpy roads or curbs or an antsy toddler. Bought for vacation but definitely going to upgrade to something a little sturdier.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R35D60MI5PJXKM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/10/2023,United States,5,sun,Affordable and light,"If you want affordable, light stroller for travelling or everyday use I highly recommend this product. My son loves this stroller and we use it to go to park everyday. I love how this product has space to put belongings. Love it.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3AMRZ4K4L7P71/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/08/2023,United States,2,Amazon Customer,Not worth it.,This is basically a stroller you can get from Walmart for 20$. It is over priced. The head cover pops out every time you fold it up. All of the wheels does not touch the ground. The drink holder does not hold the drinks very well. I would go with another stroller honestly.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R204Z2KH7JLXN5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/08/2023,United States,2,Larry Brown,Should have said VERY USED,"So disappointed in this stroller. Apparently it had been used a lot prior to return. That was not how it was listed. The tires were worn and the canopy had a hole.I bought used, I knew it was not brand new but this was not acceptable.",,,TRUE,https://www.amazon.com/gp/customer-reviews/RSMNI99F0DDRC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/08/2023,United States,1,April L. Bell,Not worth the money,This is a typical umbrella stroller that could’ve been purchased cheaper at Walmart. And it does not recline back as far as product description states.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1QUV5GIEKF2ES/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/07/2023,United States,4,Anna S.,"Canopy doesn't stay on, lightweight",This is an excellent airport travel stroller. It's very lightweight and easy to fold. Only downsides are that the canopy pops off every time you open or close the stroller. The maneuverability is also not there with this stroller. I have to tilt it onto the back wheels to turn it as the front wheels refuse to comply. Still giving it 4 stars because of the low cost and small profile when folded.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1CC46O1IPAPBE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,2,B07GGHVL64,Color: Blue,
04/07/2023,United States,5,RJV,Great lightweight stroller for quick errands,I bought this to have in my car for my granddaughter. We use it to go in and out of the recreation center to the indoor pool. Works just fine for sidewalks and is a great size for in the locker room. I would not use it for a long walk. I do not recommend for off sidewalks. Great economical stroller for non-heavy-duty strolling.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1PWBR3YP13FU3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,2,B07SRVB6T6,Color: Pink/Black,
04/06/2023,United States,2,Michael,Recline adjustment strap arrived broken,"One of the parts arrived damaged. The plastic part of the strap that adjusts the seat recline was broken in two pieces, out of the box, so I can't adjust the recline position.",https://m.media-amazon.com/images/I/61Iq6HdUgaL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R15DMJ1219BFO8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07P1YSC18,Color: Gray,
04/05/2023,United States,5,The Mrs,Perfect “tall handle” stroller for light travel needs,"The basket underneath is durable enough for the minimal basics. The foot rest strap is not so sturdy but not a worry. Drink holders, adjustable back and the tall handles are perfect for 6’0 pushers. Would buy again",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3DH9J4NWRRWFC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07SRVB6T6,Color: Pink/Black,
04/04/2023,United States,2,Voddapally,Wheels are making creepy sounds,"The media could not be loaded.
  
  
  
  
  
  
  
  
 

 

 

 

 

 

 

 

  
  
   Wheels are making creepy sounds",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1TPELXJHUD0O0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B0BMJ5FL3L,Color: Gray/Black,
04/04/2023,United States,5,Paige Graves,great for toddlers!,we got this for our 3yo for the zoo and pool this year and so far it has been fantastic. I put it together mostly myself. I couldnt get one of the last steps and trying to fold it got me too lol. Luckily my husband figured it out quickly and its great for our zoo days so far! it is a little difficult to turn with but its not that big of a deal. Super lightweight and hold my 32lbs boy just fine!,,,TRUE,https://www.amazon.com/gp/customer-reviews/RCC6ECOTS44D8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,0,B07GGHVL64,Color: Blue,
04/03/2023,United States,5,Courtney Danell,Lightweight and portable,Perfect to use for traveling. It was easy to pack and easy to maneuver around with our toddler. Definitely recommend for travel,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2X7C7WH5L1RUM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07SRVB6T6,Color: Pink/Black,
04/02/2023,United States,5,Karina Aguilar,Good quality for the price,Ordered for my daughter. I liked how sturdy it is. Definitely great quality for the price.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R22DFQPR6F2LVN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07GGHVL64,Color: Blue,
04/02/2023,United States,5,Janell Peterson,It was great to travel with!,We took it on our cruise and I loved it! Pushed smooth. My son thought it was comfortable cause he took lots of naps in it. I recommend it.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3V4VH6GVXCP6P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07P1YSC18,1,B07GGHVL64,Color: Blue,
