Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles,
04/21/2023,United States,5,Gracegirl,Crushes frozen fruit!,"Love this blender, pulverizes everything in no time!",,,TRUE,https://www.amazon.com/gp/customer-reviews/RJ8RSAADRL9AF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/21/2023,United States,4,Romantic,Glad I got this on sale,"While I wasn't opposed to paying full price for this, because it truly has been worth every penny, I am glad I got it on sale because I like a good bargain and this one was an amazing bargain. It works like a champ at making smoothies, super smooth.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R11PR8L9X6BZX1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
04/20/2023,United States,2,brennan,Awesomeness,This product works amazingly. With both types of blenders you always have what you need,,,TRUE,https://www.amazon.com/gp/customer-reviews/R39ZAK4QHQT532/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/20/2023,United States,1,Rachel,Hairline crack in pitcher and replacement pitcher. Manufacturer needs to address this!,"This is a very good blender, but when I received it, there was a hairline crack in the bottom of the pitcher. Although the pitcher is not leaking (as of yet), I can feel the crack on both sides of the pitcher. I called the manufacture for a replacement, and the replacement pitcher also has the same hairline crack.","https://m.media-amazon.com/images/I/71GDdnvYFGL._SY1600.jpg, https://m.media-amazon.com/images/I/71Qu0IB8R9L._SY1600.jpg",,TRUE,https://www.amazon.com/gp/customer-reviews/R1U91RRGYUNO3U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
04/20/2023,United States,5,Marshall,Smoothie Beast!,Love this blender. The smoothie attachments are awesome. use it every day. And it is a powerful beast!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R5JMML0JMTOXT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/20/2023,United States,1,Gladys Perez,No para Margarita's,"Lo compré para moler el hielo (como nieve) para margaritas, según descripción...y me resultó como cualquier otra licuadora",,,TRUE,https://www.amazon.com/gp/customer-reviews/RGLDYM5RLZI3U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/20/2023,United States,5,Lameramera88,Definitely gets the job done,"I love it!So far, no problems with this blender. It gets the job done, it’s super easy to use and gives the option to use the blender or the single serve cup. Word of caution, the blades are SUPER SHARP so be careful when you’re washing the blades",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1GQ1KBI03IFRQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,3,B00939FV8K,Style: 1100 Watts with Single Serve,
04/19/2023,United States,1,Javier,Is not the same color as the publication,The picture and shows a white and gray blender and I receive a Black and Chrome,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1PUNILKBIMHBP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/19/2023,United States,5,T Jay,Easy Cleaning Smoothie Maker,I use mine to make smoothies. Its fantastic! It makes the best smoothies ever. Well blended and easy cleanup.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RLB8E068RXEO2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/14/2023,United States,5,Kimberly Valadez,makes for great smoothies,"It fits a regular mouth mason jar. I haven’t seen an overwhelming difference in this blender and others that are similar. Maybe because I only use it for smoothies. But to me the most important are things… cost , ability to crush ice and mason jar compatibility . It’s a winner in all areas .",,,TRUE,https://www.amazon.com/gp/customer-reviews/R18VJ0KSRVMUUW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,5,B00939FV8K,Style: 1100 Watts with Single Serve,
04/13/2023,United States,5,wendy todys,Best blender,I got this in one day with prime and what a difference a blender makes ! Used to have another brand. This is the best blender over ever used. Wow,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1672KCJ63TY0Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
04/13/2023,United States,5,Barb,Easy to use.,I like the ease of use and the convenience of making smoothies and other items. Easy to clean.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2IX9N8VSERZDF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/13/2023,United States,5,claudia miranda,Me encanta,"Me encanta esta licuadora , funciona muy bien.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2DIP9W9EGVGL7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,2,B00939FV8K,Style: 1100 Watts with Single Serve,
04/12/2023,United States,4,Amazon Customer,Water in handle,Why does water get in the handle when I clean it,,,TRUE,https://www.amazon.com/gp/customer-reviews/R34K06P0W24KRV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/12/2023,United States,5,Maricely,Entrega a tiempo y buena calidad,Excelente producto me encantó 👌,,,TRUE,https://www.amazon.com/gp/customer-reviews/RUYOBS2ZC5BNV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/12/2023,United States,5,enysis,very nice!,switching from my old blender to this was the right decision!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2ZBHAVK0BEJF6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/12/2023,United States,1,J. Love,The worst blender ever,"I use a blender everyday. I’ve had many. This is the biggest waste of money for cheap plastic parts and a poorly engineered designed. First, it’s SO loud, which I find ironic given the brand is “ninja.” It’s startling loud, like a second alarm clock, or cold shower in the morning. Second, why does the blade not securely lock into the base? I like all of my breakfast shake, so I turn my blender upside down and let every drop fall into my cup. Since the blade doesn’t lock in, I made a terrible mess, and almost sliced my foot the first time I tried this because the blade just dropped out when I poured my shake out. Third, it takes forever to blend the ice. It does blend the ice, but so has every other blender I’ve owned. This one just takes 3 times as long (and is 4x the price). I make 5 shakes a morning so this has added 5 minutes to my morning routine as it takes about a minute longer for each shake. Finally, why the cheap plastic parts? Again, at 4x the cost of every other blender I’ve owned, I expected high quality materials. My last blender was glass, with a metal base, which was great because it meant it was sturdy, but also easy to clean (in a dishwasher). I was very excited to get this blender as I’ve always wanted a “better” blender (better name brand, professional grade) since I use mine so frequently. Unfortunately, this has not lived up to my expectations at all.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1BLPQFOGOW6YJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/10/2023,United States,5,Anthony Sullivan 👻,pretty awesome,makes some good milkshakes,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2HTMF3TUFA9JG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
04/09/2023,United States,3,Siddhu,Nit so good,"They gave a broke piece, but it works goods",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3AQNB9UX3GOHY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/08/2023,United States,2,john newman,HUGE fail by Ninja here,"The huge failure here is the single serve cup. It is an absolute joke if you are trying to make an icee drink. It is painfully, inadequately small. All you do is end up with a mess. You may as well just forget it and use the pitcher. Other than that the unit does a good job on ice, drinks etc as long as you are using the pitcher. Unit is a bit loud, but for the price it's ok there.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R34M1882C4Y16V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/07/2023,United States,5,Iris,Es perfecta la eh tenido desde hace 6 meses,La recomiendo al 100% es preciosa y muy elegante,,,TRUE,https://www.amazon.com/gp/customer-reviews/RFGRGWPH42PRO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
04/07/2023,United States,2,A Human on Planet Earth,Single Serving Cup Malfunctioned,"After less than six months, the single serving cup system no longer works. Having issues with a tight jaw, I tend to steam my hard vegetables and then use the single serving cup to make smoothies. So I probably used the Ninja about once a day. For the last three weeks, I've had major difficulties trying to get the blending lid to sufficiently lock in place. I've tried multiple times, but it rarely works now. I checked to see if the large unit still works, and it does. I'm not sure why this keeps happening, but it is time to look for a replacement. Oh...Regarding noise level, these are loud & so I wear ear protection when making smoothies.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R319CJ76ZXSVYM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
04/07/2023,United States,3,Day,Pitcher is plastic,"I liked the blender initially, until the pitcher got a stress crack in it and started leaking. The replacement cost for the pitcher is almost the same price for the whole blender. Went with a different brand to replace.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1P4IYN8CKB0JT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,2,B00939FV8K,Style: 1100 Watts with Single Serve,
04/07/2023,United States,5,Annick,Love it!,Blends well for all kinds of smoothies.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RGI1QVD44QTYV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/06/2023,United States,4,Alexander,Blends,"This product does an excellent job of blending. Would be 5 stars, but the pitcher is definitely not built to last",,,TRUE,https://www.amazon.com/gp/customer-reviews/R24SJUWDA38ROR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/04/2023,United States,5,Yamiletzi,La mejor inversión!!!,La amé!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R231PRMRG6TFJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/03/2023,United States,1,Whitney Jordan,They don’t warrantee their cheap plastic partS,The blender cracked internally where the blade goes. Nothing that happened for me dropping it or normal wear and tear. It’s a defect in their design. They don’t warrantee the cheap part. Go with a different brand.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1COP4Z3MHYNH7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/03/2023,United States,5,Amazon Customer,Mom with teens,We do love this blender !,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3CA3Y02YBUFRT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/03/2023,United States,5,kelvin,Excelente,Feliz con licuadora,,,TRUE,https://www.amazon.com/gp/customer-reviews/R178T9H6QS4AWQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/02/2023,United States,5,Max / Maksim,excellent smoothie and power shakes maker,excellent smoothie and power shakes maker,,,FALSE,https://www.amazon.com/gp/customer-reviews/R2X1E1MGY40FLQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
04/01/2023,United States,4,Antonio,Fast to liquify anything you put in it.,Great we love it.,,,TRUE,https://www.amazon.com/gp/customer-reviews/ROO4XG2185U8M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/31/2023,United States,5,Chris,It's amazing,"No complaints. Perfect for smoothie, milk shakes, making salsa and blending soups.",,,TRUE,https://www.amazon.com/gp/customer-reviews/RTS4Y7LD58BZM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/31/2023,United States,5,Steven,Chesper then Wallmart,"Works well G/F makes her smoothies every morning, she luv it!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R17UZTH8E6S1E5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
03/30/2023,United States,5,Chantina,Best blender EVER,"I tried 3 other blenders and none of them worked well and they were all good brands! I bought this and it works great! I love the personal cup, the blades are great! Very sharp blades!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1YOGI7GNWNJHO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,5,B00939FV8K,Style: 1100 Watts with Single Serve,
03/29/2023,United States,5,Andre,Great product,Works better than I originally expected 👌🏾,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1I3TBXBCURO79/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/28/2023,United States,1,Julissa raquelcanela,no quieren hacerme una devolución estoy muy incómoda llego rota incompleta y no quieren hacer nada,No la compren no quieren resolver,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3DD78AGYCJ716/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/28/2023,United States,3,Luis,"The cup is very weak, start to crak so bad",No comments,,,TRUE,https://www.amazon.com/gp/customer-reviews/R326KHI77QRGLM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,2,B00939FV8K,Style: 1100 Watts with Single Serve,
03/28/2023,United States,1,Jorge P.,"Malisima licuando, un problema más que una solución. No la re recomiendo.","Mala mezclando, los licuados quedan grumosos, por momentos enteros, no pulveriza las frutas, su nivel de ruido es fuerte.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R3HWSJ6Q8Y7I5L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/27/2023,United States,5,Meredith K,Second time,Second time and I’ll always order again,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3SFKX6MAB0PPN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/27/2023,United States,5,norman roy,Great product,Good company,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1NQPAHGBQCMKW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/26/2023,United States,4,H.Dwyer,Nice blender,Good blender. Easy to clean. Overall satisfied,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1CHFKSFQKYXTA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/25/2023,United States,4,Georgia L.,Thugs don't blend out completely,"Ok ,to used",,,TRUE,https://www.amazon.com/gp/customer-reviews/RXA3R7K2DCBRE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,0,B00939FV8K,Style: 1100 Watts with Single Serve,
03/24/2023,United States,5,jennifer mcgilvrey,Ice crusher!,I bought this specifically for smoothies and frozen drinks for summer. Crushes ice so well and all my smoothies are blended to creamy perfection. Super happy.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RV01AJABMH7XK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
03/23/2023,United States,5,Eureka Bostic,Love this!!!,Love this blender. It does everything it says and more.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RXRF2M16QFK76/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00939FV8K,1,B00939FV8K,Style: 1100 Watts with Single Serve,
